Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Work_Description,Active_Parcel,Date_Inspection_Completed,Occupancy_Type,Residential_Units_Demoed,District,Inspection_Outcome
"POOL-2021-18531","2021-11-04 12:00:00","2021-11-30 12:00:00","2022-11-14 12:00:00","2023-03-20 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",120008,"11","LANDSDOWN DR","COLE HARBOUR","40060063",78500.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","replace above ground 18x33 pool with 18x36 inground pool","Y","2022-11-14 12:00:00",,,"District 04","Passed"
"FENCE-2022-14355","2022-11-03 12:00:00","2022-11-03 12:00:00","2022-11-03 12:00:00","2024-11-03 12:00:00","Fence Construction","Fence Construction","Height <= 1.98m (6.5 ft)","Completed",2454,"8","SECOND ST","BEDFORD","40107112",5232.5000,,"Dwelling - Single Detached","We would like to put up a 1.5m tall (5 ft), black chain link fence (~46m in length) enclosing our back yard property","Y",,,,"District 16",
"SOLAR-2022-14061","2022-10-26 12:00:00","2022-10-27 12:00:00","2023-08-25 12:00:00","2024-10-27 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",92806,"803","OLDHAM RD","OLDHAM","00514869",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","We are installing 10 480W panels on the roof","Y","2023-08-25 12:00:00",,,"District 01","Passed"
"DECK-2024-05948","2024-05-22 12:00:00","2024-05-27 12:00:00",,"2026-05-27 12:00:00","Deck Permit","Residential","New","Issued",84173,"10","HORNES RD","EASTERN PASSAGE","00371195",15000.0000,"Building - DEC - Deck - Footing","Dwelling - Single Detached","Rebuilding Deck","Y","2024-06-07 12:00:00",,,"District 03","Passed"
"MOBILE-2021-11852","2021-06-25 12:00:00","2021-07-20 12:00:00","2023-05-26 12:00:00","2023-07-20 12:00:00","Mobile Home Permit","Installation","On Private Lot","Completed",132762,"18","DANDYLION LANE","ELMSVALE","41131525",,"Building - MOB - Mobile Home Final","Mobile Home","Construction of a mobile home.


installing new prestige mini home on Lot2z Highway 224 Elmsvale PID# 41131525","Y","2021-12-14 12:00:00",,,"District 01","Passed"
"SIGN-2025-01316","2025-01-31 12:00:00","2025-02-05 12:00:00","2025-02-05 12:00:00","2027-02-05 12:00:00","Sign Permit","Fascia Sign","Illuminated","Completed",8720,"117","KEARNEY LAKE RD","HALIFAX","40662413",,,"Commercial","Install one (1) illuminated fascia sign - ICICI BANK","Y",,,,"District 10",
"SOLAR-2023-15686","2023-12-04 12:00:00","2023-12-05 12:00:00","2024-03-01 12:00:00","2025-12-05 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",29227,"41","STEVEN MURPHY DR","WILLIAMSWOOD","40365645",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","to install solar panels on the roof","Y","2024-03-01 12:00:00",,,"District 11","Passed"
"DECK-2022-12139","2022-09-08 12:00:00","2022-09-13 12:00:00","2023-01-04 12:00:00","2024-09-13 12:00:00","Deck Permit","Residential","New","Completed",61246,"106","CHASWOOD DR","COLE HARBOUR","40361412",11242.5000,"Building - DEC - Deck - Footing","Dwelling - Single Detached","Replace existing side deck","Y","2023-01-04 12:00:00",,,"District 04","Passed"
"DEMO-2022-14479","2022-11-07 12:00:00","2022-11-29 12:00:00",,"2023-02-28 12:00:00","Demolition Permit","Demolition","Demolition","Expired",68209,"2393","MAYNARD ST","HALIFAX","00149419",,"Building - DEM - Demolition - Final","Commercial","demolish commercial building","Y","2023-06-30 12:00:00",,,"District 08","Passed"
"GP-2021-05534","2021-04-05 12:00:00","2021-06-11 12:00:00","2021-06-11 12:00:00","2023-06-11 12:00:00","Sign Permit","Ground Sign","Non Illuminated","Completed",166455,"436","BROAD ST","BEDFORD","41475211",,,"Commercial","A monument sign will be built for an apartment building at the end of the private driveway.","Y",,,,"District 16",
"OCCUPY-2023-01160","2023-02-06 12:00:00",,"2023-04-04 12:00:00",,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",66298,"2710","AGRICOLA ST","HALIFAX","00161497",,,"Commercial","I am leasing a unit in a brand new building . It is going to be a small taproom for my micro- brewery. Nothing structural needs to happen in the renovation, just washrooms and a bar/cold room to be built. Furniture and decor to be added .","Y",,"Drinking Establishment",,"District 08",
"SIGN-2022-04240","2022-03-29 12:00:00","2022-05-09 12:00:00","2022-05-09 12:00:00","2024-05-09 12:00:00","Sign Permit","Ground Sign","Non Illuminated","Completed",174923,"6009","SHIRLEY ST","HALIFAX","00162891",,,"Commercial","Installing Ground Sign","Y",,,,"District 09",
"SOLAR-2022-00147","2022-01-06 12:00:00","2022-01-06 12:00:00","2022-04-20 12:00:00","2024-01-06 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",55043,"56","SWANTON DR","DARTMOUTH","00218917",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar PV","Y","2022-04-20 12:00:00",,,"District 06","Passed"
"SOLAR-2023-06253","2023-05-23 12:00:00","2023-05-24 12:00:00","2024-02-13 12:00:00","2025-05-24 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",31551,"40","ATLANTIC VIEW DR","SAMBRO HEAD","00395434",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2024-02-13 12:00:00",,,"District 11","Passed"
"SOLAR-2024-08197","2024-06-27 12:00:00","2024-06-28 12:00:00","2024-10-22 12:00:00","2026-06-28 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",17089,"92","SUGAR MAPLE DR","TIMBERLEA","40453920",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2024-10-22 12:00:00",,,"District 12","Passed"
"DECK-2022-03792","2022-03-22 12:00:00","2022-04-08 12:00:00","2022-06-08 12:00:00","2024-04-08 12:00:00","Deck Permit","Residential","New","Completed",40227,"9","RANKIN DR","LOWER SACKVILLE","40182537",16372.3500,"Building - DEC - Deck - Footing","Dwelling - Townhouse","Removal and disposal of the existing deck
Installing a 16'x13' ground level deck and 6'x4' top landing with 4ft wide stairs (Brown pressure treated lumber)
Aluminum black square spindles railing around the top landing and the stairs, attached to house plus engineered screw piles for footings
Galvanized hardware, blue skin cover for top edge of framing.
Deck is being built by Kent building supplies.","Y","2022-06-08 12:00:00",,,"District 15","Passed"
"DECK-2023-07928","2023-06-20 12:00:00","2023-07-07 12:00:00","2023-10-10 12:00:00","2025-07-07 12:00:00","Deck Permit","Residential","New","Completed",6588,"21","PEVERILL CRT","BEDFORD","40731820",3500.0000,"Building - DEC - Deck - Final","Dwelling - Semi-Detached","replacement of deck","Y","2023-10-10 12:00:00",,,"District 16","Passed"
"DECK-2025-01010","2025-01-23 12:00:00",,,,"Deck Permit","Residential","New","Applicant Revisions",72410,"6239","LAWRENCE ST","HALIFAX","00138412",8000.0000,,"Dwelling - Single Detached","Replacing Front Steps/Deck","Y",,,,"District 09",
"DEMO-2023-14551","2023-11-03 12:00:00","2023-11-07 12:00:00",,"2024-02-06 12:00:00","Demolition Permit","Demolition","Demolition","Expired",90449,"608","ELDERBANK BACK RD","ELDERBANK","40688269",,,"Dwelling - Single Detached","Demolition of Existing Dwelling on Property.","Y",,,1,"District 01",
