Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Type_of_Structure,Work_Description,Active_Parcel,District
"DEVONLY-2021-16117","2021-10-14 12:00:00",,"2021-10-20 12:00:00",,"Development Only Permit","Residential","Addition","Withdrawn",21168,119,"DOULL AVE","HALIFAX","00224923","Dwelling - Single Detached","We are extending the house on the backyard, addition size of 12x25 foot long, two stories.","Y","District 09"
"DEVONLY-2022-01476","2022-02-07 12:00:00","2022-05-02 12:00:00","2022-05-02 12:00:00","2023-05-02 12:00:00","Development Only Permit","Residential","Addition","Completed",76542,5885,"SPRING GARDEN RD","HALIFAX","00136341","Mixed Use - Residential & Other Use(s)","Multi-use, multi-unit residential addition to 5885 Spring Garden Rd, where the addition fronts onto Carlton Street. Mid-rise development, 6 storeys plus a penthouse. 65 Residential Units and 1 Commercial Unit facing Carlton St.","Y","District 07"
"DEVONLY-2022-07341","2022-05-25 12:00:00","2022-06-02 12:00:00","2022-06-02 12:00:00","2023-06-02 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",4998,19,"BLUE FOREST LANE","HAMMONDS PLAINS","40650533","Accessory Structure","10 x 20 pre-fabricated shed","Y","District 14"
"DEVONLY-2022-11973","2022-09-01 12:00:00","2022-09-02 12:00:00","2022-09-02 12:00:00","2023-09-02 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",165698,25,"MCCABE LAKE DR","MIDDLE SACKVILLE","41424631","Accessory Structure","This structure will be a shed type building that will be used as an extra home office space","Y","District 14"
"DEVONLY-2023-00453","2023-01-15 12:00:00","2023-11-16 12:00:00","2023-11-16 12:00:00","2024-11-16 12:00:00","Development Only Permit","Residential","New Building","Completed",67843,2318,"GOTTINGEN ST","HALIFAX","00154682","Mixed Use - Residential & Other Use(s)","A six-story mixed-use building with commercial spaces on the first and second floors. The third to the sixth floor will be rental residential.","Y","District 08"
"DEVONLY-2023-06199","2023-05-18 12:00:00","2023-05-23 12:00:00","2023-05-23 12:00:00","2024-05-23 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",83790,9,"AURORA AVE","HALIFAX","00313783","Accessory Structure","Construct Accessory Structure","Y","District 11"
"DEVONLY-2023-12010","2023-09-07 12:00:00","2023-09-12 12:00:00","2023-09-12 12:00:00","2024-09-12 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",2074,1836,"HAMMONDS PLAINS RD","HAMMONDS PLAINS","00422485","Accessory Structure","10x12 shed","Y","District 14"
"DEVONLY-2024-01922","2024-02-23 12:00:00","2024-02-29 12:00:00","2024-02-29 12:00:00","2025-02-28 12:00:00","Development Only Permit","Non Residential","Accessory Structure","Completed",104421,25,"POST RD","EAST CHEZZETCOOK","00618124","Accessory Structure","Construct 10x12 seasonal shed","Y","District 02"
"DEVONLY-2024-08844","2024-07-04 12:00:00","2024-07-12 12:00:00","2024-07-12 12:00:00","2025-07-12 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",162527,19,"ALPINE CRT","BEDFORD","41343286","Accessory Structure","Construct shed.","Y","District 16"
"DEVONLY-2024-11983","2024-08-29 12:00:00",,"2024-09-05 12:00:00",,"Development Only Permit","Non Residential","Renovation","Cancelled",71837,1881,"BRUNSWICK ST","HALIFAX","00002097","Commercial","Renovation empty space to Nails Salon","Y","District 07"
"DEVONLY-2024-13054","2024-09-17 12:00:00","2024-12-30 12:00:00","2024-12-30 12:00:00","2025-12-30 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",110572,132,"DOHERTY DR","LAWRENCETOWN","40435968","Commercial","Short Term Bedroom rental (3 or fewer bedrooms) of Primary Residence","Y","District 02"
"DEVONLY-2024-14203","2024-09-23 12:00:00",,"2024-11-01 12:00:00",,"Development Only Permit","Residential","Short Term Rental","Withdrawn",144431,39,"KATRINA CRES","HALIFAX","41171679","Commercial","Short Term Rental","Y","District 11"
"DEVONLY-2024-15527","2024-10-11 12:00:00","2024-11-20 12:00:00","2024-11-20 12:00:00","2025-11-20 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",3316,9,"SUNNYVIEW TERR","HAMMONDS PLAINS","00427948","Accessory Structure","Legalize Accessory SHed","Y","District 14"
"DEVONLY-2025-00006","2025-01-01 12:00:00",,"2025-01-02 12:00:00",,"Development Only Permit","Residential","Short Term Rental","Cancelled",858,81,"BEAVER LAKE DR","HAMMONDS PLAINS","40821373","Dwelling - Single Detached","This is our primary residence and we will be renting the entire space.","Y","District 14"
"GP-2021-06986","2021-04-21 12:00:00",,"2021-05-05 12:00:00",,"Development Only Permit","Non Residential","Commercial","Withdrawn",98720,1,"LAKEWOOD DR","WAVERLEY","40099624","Commercial","we are a daycare are we are looking to transform one of our current toddler classrooms into an additional infant crib room. In doing so, this requires putting up 3 walls to build a closed in crib room. this does NOT require any electrical work and does NOT require any new water line connection from outside. we will need to extend our existing sprinkler system, and have provided the quote for this. Currently we have 1 infant room, occupied with 16 children. Due to infant spacing demands..With the transformation/addition of this classroom, we will have spaces for 8 more infants. This really is a simple addition of 3 walls, to make a room.","Y","District 01"
"DEVONLY-2023-07631","2023-06-14 12:00:00",,"2023-06-14 12:00:00",,"Development Only Permit","Non Residential","Accessory Structure","Withdrawn",25890,801,"OLD SAMBRO RD","HARRIETSFIELD","40071094","Commercial","Building Accessory Structure","Y","District 11"
"DEVONLY-2023-10846","2023-08-11 12:00:00",,,,"Development Only Permit","Residential","Accessory Structure","Application Incomplete",8851,2,"ASHBERRY CRT","UPPER TANTALLON","40838138","Dwelling - Single Detached","Construct Accessory Structure","Y","District 13"
